Algorithm,Function,Run,Best_Fitness
A-POA,CEC2017_F7,2,746.0000000000011
A-POA,CEC2017_F7,3,734.2281743906292
A-POA,CEC2017_F7,4,744.0
A-POA,CEC2017_F7,5,754.0000000040014
A-POA,CEC2017_F7,6,728.9000070063408
A-POA,CEC2017_F7,7,756.0000000881012
A-POA,CEC2017_F7,8,746.0000002394697
A-POA,CEC2017_F7,9,746.0000009322456
A-POA,CEC2017_F7,10,752.6285502499655
A-POA,CEC2017_F7,11,740.0000015346662
A-POA,CEC2017_F7,12,738.0000094496188
A-POA,CEC2017_F7,13,752.0000021852034
A-POA,CEC2017_F7,14,754.0000037944277
A-POA,CEC2017_F7,15,750.0
A-POA,CEC2017_F7,16,734.0000006247882
A-POA,CEC2017_F7,17,746.0000001965368
A-POA,CEC2017_F7,18,742.012748524985
A-POA,CEC2017_F7,19,750.9829998737603
A-POA,CEC2017_F7,20,758.8758145213884
A-POA,CEC2017_F7,21,746.0000007142845
A-POA,CEC2017_F7,22,762.0000001266712
A-POA,CEC2017_F7,23,732.8901384912933
A-POA,CEC2017_F7,24,754.0
A-POA,CEC2017_F7,25,751.6147323664484
A-POA,CEC2017_F7,26,730.0001249167753
A-POA,CEC2017_F7,27,744.0000011706779
A-POA,CEC2017_F7,28,740.0009202880171
A-POA,CEC2017_F7,29,744.4845859709858
A-POA,CEC2017_F7,30,752.0033137169521
A-POA,CEC2017_F7,31,762.0000003111998
A-POA,CEC2017_F7,32,744.0
A-POA,CEC2017_F7,33,739.633302647835
A-POA,CEC2017_F7,34,746.3151093671867
A-POA,CEC2017_F7,35,738.0000093170501
A-POA,CEC2017_F7,36,734.3424792925457
A-POA,CEC2017_F7,37,736.0001494367466
A-POA,CEC2017_F7,38,754.5790918074966
A-POA,CEC2017_F7,39,756.2743639985855
A-POA,CEC2017_F7,40,752.0000655119653
A-POA,CEC2017_F7,41,746.0000010164671
A-POA,CEC2017_F7,42,722.0007554906717
A-POA,CEC2017_F7,43,731.8117960084064
A-POA,CEC2017_F7,44,744.0
A-POA,CEC2017_F7,45,756.0000009632863
A-POA,CEC2017_F7,46,748.8281213270162
A-POA,CEC2017_F7,47,734.0000009688065
A-POA,CEC2017_F7,48,754.0000086474797
A-POA,CEC2017_F7,49,742.1014803031275
A-POA,CEC2017_F8,0,800.0036315566334
A-POA,CEC2017_F8,1,800.0914125373919
A-POA,CEC2017_F8,2,800.0906722176077
A-POA,CEC2017_F8,3,800.2690641089862
A-POA,CEC2017_F8,4,800.0906685397593
A-POA,CEC2017_F8,5,800.0006642009348
A-POA,CEC2017_F8,6,800.0020472502896
A-POA,CEC2017_F8,7,800.1810751379594
A-POA,CEC2017_F8,8,800.0901635345894
A-POA,CEC2017_F8,9,800.0010977500227
A-POA,CEC2017_F8,10,800.0912912221994
A-POA,CEC2017_F8,11,800.0909459668616
A-POA,CEC2017_F8,12,800.0930943238302
A-POA,CEC2017_F8,13,800.0909939674516
A-POA,CEC2017_F8,14,800.000685563293
A-POA,CEC2017_F8,15,800.0901920877801
A-POA,CEC2017_F8,16,800.1811377345712
A-POA,CEC2017_F8,17,800.1804693296937
A-POA,CEC2017_F8,18,800.0001573407884
A-POA,CEC2017_F8,19,800.0002199569432
A-POA,CEC2017_F8,20,800.0916928286471
A-POA,CEC2017_F8,21,800.0021777941475
A-POA,CEC2017_F8,22,800.0029113426513
A-POA,CEC2017_F8,23,800.0003017234488
A-POA,CEC2017_F8,24,800.0005176938515
A-POA,CEC2017_F8,25,800.0001717032573
A-POA,CEC2017_F8,26,800.0030499822554
A-POA,CEC2017_F8,27,800.1805414890962
A-POA,CEC2017_F8,28,800.0012275394288
A-POA,CEC2017_F8,29,800.0362196462738
A-POA,CEC2017_F8,30,800.0009690922033
A-POA,CEC2017_F8,31,800.002164819343
A-POA,CEC2017_F8,32,800.0907347036289
A-POA,CEC2017_F8,33,800.0008737307561
A-POA,CEC2017_F8,34,800.001068568799
A-POA,CEC2017_F8,35,800.0906115741676
A-POA,CEC2017_F8,36,800.1807575678073
