Function,Algorithm,Run,Best_Fitness,Source
CEC14_F1,SSA,35,28997773.54306933,resumed
CEC14_F1,Base_POA,36,594793.4384037154,resumed
CEC14_F1,Proposed_POA,36,885737.2734925678,resumed
CEC14_F1,PSO,36,2749413.174587216,resumed
CEC14_F1,GWO,36,4210552.022560786,resumed
CEC14_F1,WOA,36,10888184.994278174,resumed
CEC14_F1,HHO,36,14578026.58898065,resumed
CEC14_F1,AOA,36,25566957.662343636,resumed
CEC14_F1,SCA,36,11917300.51797778,resumed
CEC14_F1,SSA,36,32726394.367549457,resumed
CEC14_F1,Base_POA,37,572229.5854843424,resumed
CEC14_F1,Proposed_POA,37,1295847.8536137948,resumed
CEC14_F1,PSO,37,211522.25778638656,resumed
CEC14_F1,GWO,37,6319935.760489436,resumed
CEC14_F1,WOA,37,2177290.25596626,resumed
CEC14_F1,HHO,37,13319972.762819828,resumed
CEC14_F1,AOA,37,602994343.0148898,resumed
CEC14_F1,SCA,37,5284620.363460611,resumed
CEC14_F1,SSA,37,53335030.125157975,resumed
CEC14_F1,Base_POA,38,96357.3087051519,resumed
CEC14_F1,Proposed_POA,38,1363859.9163470846,resumed
CEC14_F1,PSO,38,41849.63999537492,resumed
CEC14_F1,GWO,38,5948925.254208218,resumed
CEC14_F1,WOA,38,924834.2010077016,resumed
CEC14_F1,HHO,38,8691612.2764062,resumed
CEC14_F1,AOA,38,66317611.29303269,resumed
CEC14_F1,SCA,38,9263377.861194164,resumed
CEC14_F1,SSA,38,39826480.77026022,resumed
CEC14_F1,Base_POA,39,775383.0925947312,resumed
CEC14_F1,Proposed_POA,39,2141154.636134835,resumed
CEC14_F1,PSO,39,93281.39757932484,resumed
CEC14_F1,GWO,39,7802537.653346622,resumed
CEC14_F1,WOA,39,4497684.257556657,resumed
CEC14_F1,HHO,39,14270300.367307648,resumed
CEC14_F1,AOA,39,166736772.76437196,resumed
CEC14_F1,SCA,39,8268671.016376247,resumed
CEC14_F1,SSA,39,35289269.52104828,resumed
CEC14_F1,Base_POA,40,745784.9375524933,resumed
CEC14_F1,Proposed_POA,40,1799152.6076899269,resumed
CEC14_F1,PSO,40,279808.46758250886,resumed
CEC14_F1,GWO,40,4401769.92843299,resumed
CEC14_F1,WOA,40,15729102.372282106,resumed
CEC14_F1,HHO,40,8394546.19400523,resumed
CEC14_F1,AOA,40,55931424.99967736,resumed
CEC14_F1,SCA,40,12023252.480803393,resumed
CEC14_F1,SSA,40,14395374.943493534,resumed
CEC14_F1,Base_POA,41,400073.6890075439,resumed
CEC14_F1,Proposed_POA,41,619091.008976736,resumed
CEC14_F1,PSO,41,240820.22881425463,resumed
CEC14_F1,GWO,41,5261228.239680615,resumed
CEC14_F1,WOA,41,4247171.174410659,resumed
CEC14_F1,HHO,41,5435581.570107285,resumed
CEC14_F1,AOA,41,28699737.31208144,resumed
CEC14_F1,SCA,41,10573339.026751108,resumed
CEC14_F1,SSA,41,31699344.905256458,resumed
CEC14_F1,Base_POA,42,392579.97235132207,resumed
CEC14_F1,Proposed_POA,42,905672.2203792152,resumed
CEC14_F1,PSO,42,869645.130756802,resumed
CEC14_F1,GWO,42,4580688.845780702,resumed
CEC14_F1,WOA,42,3089359.3278572266,resumed
CEC14_F1,HHO,42,541227.3976157098,resumed
CEC14_F1,AOA,42,39003942.521671854,resumed
CEC14_F1,SCA,42,24005030.833253928,resumed
CEC14_F1,SSA,42,42189277.47719992,resumed
CEC14_F1,Base_POA,43,900478.7375984716,resumed
CEC14_F1,Proposed_POA,43,951844.3807144832,resumed
CEC14_F1,PSO,43,864202.2198048545,resumed
CEC14_F1,GWO,43,5013494.859215467,resumed
CEC14_F1,WOA,43,3040457.1725347745,resumed
CEC14_F1,HHO,43,16485732.832330376,resumed
CEC14_F1,AOA,43,21555594.831512623,resumed
CEC14_F1,SCA,43,9255170.094223568,resumed
CEC14_F1,SSA,43,17828923.758650556,resumed
CEC14_F1,Base_POA,44,1222626.9984063348,resumed
CEC14_F1,Proposed_POA,44,860214.5096153631,resumed
CEC14_F1,PSO,44,2854619.739391302,resumed
CEC14_F1,GWO,44,10656445.372331496,resumed
CEC14_F1,WOA,44,16887978.236797422,resumed
CEC14_F1,HHO,44,947861.4714716412,resumed
CEC14_F1,AOA,44,278445144.3701376,resumed
CEC14_F1,SCA,44,9809795.704107482,resumed
CEC14_F1,SSA,44,14580142.753939591,resumed
CEC14_F1,Base_POA,45,323318.23830045335,resumed
CEC14_F1,Proposed_POA,45,632357.4881908778,resumed
CEC14_F1,PSO,45,280271.7483578005,resumed
CEC14_F1,GWO,45,4557566.734443631,resumed
CEC14_F1,WOA,45,3717418.786661495,resumed
CEC14_F1,HHO,45,2098273.8196630925,resumed
CEC14_F1,AOA,45,469644905.7949664,resumed
CEC14_F1,SCA,45,13362346.25599134,resumed
CEC14_F1,SSA,45,16288668.788325474,resumed
CEC14_F1,Base_POA,46,903405.4282895512,resumed
CEC14_F1,Proposed_POA,46,905307.7166214214,resumed
CEC14_F1,PSO,46,40529.44342012515,resumed
CEC14_F1,GWO,46,2495951.3106408264,resumed
CEC14_F1,WOA,46,4194214.252524091,resumed
CEC14_F1,HHO,46,8144955.255491407,resumed
CEC14_F1,AOA,46,49730431.79288177,resumed
CEC14_F1,SCA,46,11414874.076299377,resumed
CEC14_F1,SSA,46,25703606.81791357,resumed
CEC14_F1,Base_POA,47,959073.7136495308,resumed
CEC14_F1,Proposed_POA,47,1740011.1136265495,resumed
CEC14_F1,PSO,47,240871.5178859136,resumed
CEC14_F1,GWO,47,7511542.290719504,resumed
CEC14_F1,WOA,47,1247889.86531844,resumed
CEC14_F1,HHO,47,18876570.30428623,resumed
CEC14_F1,AOA,47,38323959.21026972,resumed
CEC14_F1,SCA,47,9330351.849015277,resumed
CEC14_F1,SSA,47,39635583.04918559,resumed
CEC14_F1,Base_POA,48,254124.04959105668,resumed
CEC14_F1,Proposed_POA,48,1390096.874445194,resumed
CEC14_F1,PSO,48,272522.98477194976,resumed
CEC14_F1,GWO,48,3087412.5412987377,resumed
CEC14_F1,WOA,48,513308.4169701853,resumed
CEC14_F1,HHO,48,12971791.602273,resumed
CEC14_F1,AOA,48,117510619.5723284,resumed
CEC14_F1,SCA,48,15581012.970676033,resumed
CEC14_F1,SSA,48,53902499.999256894,resumed
CEC14_F1,Base_POA,49,1136032.479980945,resumed
CEC14_F1,Proposed_POA,49,1403412.0121148848,resumed
CEC14_F1,PSO,49,240903.77631749868,resumed
CEC14_F1,GWO,49,35174736.27051718,resumed
CEC14_F1,WOA,49,4324683.3919813605,resumed
CEC14_F1,HHO,49,2558895.602465022,resumed
CEC14_F1,AOA,49,153233711.70938092,resumed
CEC14_F1,SCA,49,27266048.99375649,resumed
CEC14_F1,SSA,49,8859586.332610069,resumed
CEC14_F2,Base_POA,0,14427.315256088048,resumed
CEC14_F2,Proposed_POA,0,76363.14890650082,resumed
CEC14_F2,PSO,0,2051.633037932609,resumed
CEC14_F2,GWO,0,105406.95056384892,resumed
CEC14_F2,WOA,0,26015.57396953843,resumed
CEC14_F2,HHO,0,29927131.376591973,resumed
CEC14_F2,AOA,0,6988440513.495507,resumed
CEC14_F2,SCA,0,1657943580.1763885,resumed
CEC14_F2,SSA,0,573506646.9063857,resumed
CEC14_F2,Base_POA,1,12791.26927936664,resumed
CEC14_F2,Proposed_POA,1,103184.50440019196,resumed
CEC14_F2,PSO,1,12033.969454375729,resumed
CEC14_F2,GWO,1,78782.80007335827,resumed
CEC14_F2,WOA,1,260281.40791688624,resumed
CEC14_F2,HHO,1,4878945.556341267,resumed
CEC14_F2,AOA,1,5071743279.26374,resumed
CEC14_F2,SCA,1,1089846829.759092,resumed
CEC14_F2,SSA,1,107337274.48283118,resumed
CEC14_F2,Base_POA,2,10561.942575218582,resumed
CEC14_F2,Proposed_POA,2,43257.12956165603,resumed
CEC14_F2,PSO,2,10057.524417389315,resumed
CEC14_F2,GWO,2,102885.12755266191,resumed
CEC14_F2,WOA,2,420841.4006613193,resumed
CEC14_F2,HHO,2,21910757.09484994,resumed
CEC14_F2,AOA,2,9041913679.635124,resumed
CEC14_F2,SCA,2,983295204.3398476,resumed
CEC14_F2,SSA,2,191468367.93697068,resumed
CEC14_F2,Base_POA,3,4185.243878677096,resumed
CEC14_F2,Proposed_POA,3,148826.13996181966,resumed
CEC14_F2,PSO,3,4341.990585895922,resumed
CEC14_F2,GWO,3,50202.63034074816,resumed
CEC14_F2,WOA,3,42720229.94356477,resumed
CEC14_F2,HHO,3,107724726.06928363,resumed
CEC14_F2,AOA,3,13547470476.330091,resumed
CEC14_F2,SCA,3,951958903.948382,resumed
CEC14_F2,SSA,3,609777179.5946667,resumed
CEC14_F2,Base_POA,4,9632.019577042667,resumed
CEC14_F2,Proposed_POA,4,27078.150898704866,resumed
CEC14_F2,PSO,4,12033.96937121285,resumed
CEC14_F2,GWO,4,161197.12495341784,resumed
CEC14_F2,WOA,4,390963.69620852807,resumed
CEC14_F2,HHO,4,23532421.545764565,resumed
CEC14_F2,AOA,4,12222415294.223593,resumed
CEC14_F2,SCA,4,1068573515.9606044,resumed
CEC14_F2,SSA,4,166424277.8118875,resumed
CEC14_F2,Base_POA,5,2722.397892806768,resumed
CEC14_F2,Proposed_POA,5,572160.3137705264,resumed
CEC14_F2,PSO,5,6238.66882312078,resumed
CEC14_F2,GWO,5,141595.72742268827,resumed
CEC14_F2,WOA,5,21706.009505971568,resumed
CEC14_F2,HHO,5,10796074.702371525,resumed
CEC14_F2,AOA,5,8089473516.920606,resumed
CEC14_F2,SCA,5,1099410946.0605366,resumed
CEC14_F2,SSA,5,126248797.9247932,resumed
CEC14_F2,Base_POA,6,3183.360052193665,resumed
CEC14_F2,Proposed_POA,6,55265.67459943903,resumed
CEC14_F2,PSO,6,423.2003994310742,resumed
CEC14_F2,GWO,6,107951.4006137812,resumed
CEC14_F2,WOA,6,18084.493307839704,resumed
